~~ Start logging ~~
2025-01-16 23:32:17.591 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.17.0\n0-computer.sendme.installer.yaml
2025-01-16 23:32:17.615 INFO     Replace ManifestVersion: 1.6.0 -> 1.9.0
2025-01-16 23:32:17.615 INFO     Replace schema references: 1.6.0.schema.json -> 1.9.0.schema.json
2025-01-16 23:32:17.615 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.17.0\n0-computer.sendme.installer.yaml
2025-01-16 23:32:17.623 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.17.0\n0-computer.sendme.locale.en-US.yaml
2025-01-16 23:32:17.646 INFO     Replace ManifestVersion: 1.6.0 -> 1.9.0
2025-01-16 23:32:17.646 INFO     Replace schema references: 1.6.0.schema.json -> 1.9.0.schema.json
2025-01-16 23:32:17.646 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.17.0\n0-computer.sendme.locale.en-US.yaml
2025-01-16 23:32:17.646 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.17.0\n0-computer.sendme.yaml
2025-01-16 23:32:17.687 INFO     Replace ManifestVersion: 1.6.0 -> 1.9.0
2025-01-16 23:32:17.687 INFO     Replace schema references: 1.6.0.schema.json -> 1.9.0.schema.json
2025-01-16 23:32:17.687 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.17.0\n0-computer.sendme.yaml
2025-01-16 23:32:17.687 INFO   Create a new locale manifest file: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.17.0\n0-computer.sendme.locale.zh-CN.yaml
2025-01-16 23:32:17.687 INFO     New locale manifest file created: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.17.0\n0-computer.sendme.locale.zh-CN.yaml
2025-01-16 23:32:17.694 INFO   Staging and Committing Changes to Git
2025-01-16 23:32:23.335 INFO     Commit message: Modify: Zype.Compass version 0.17.0 (Auto)
2025-01-16 23:32:23.351 INFO   Pushing changes to remote (origin) repository
2025-01-16 23:32:47.512 INFO     Successfully pushed to remote (origin): Modify-n0-computer.sendme-0.17.0
2025-01-16 23:32:49.827 INFO     Pull request created successfully: https://github.com/microsoft/winget-pkgs/pull/212805
2025-01-16 23:32:49.827 INFO Processing version folder: 0.18.0
2025-01-16 23:32:49.827 INFO   Create and checkout to a new branch: Modify-n0-computer.sendme-0.18.0
2025-01-16 23:32:54.737 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.18.0\n0-computer.sendme.installer.yaml
2025-01-16 23:32:54.753 INFO     Replace ManifestVersion: 1.6.0 -> 1.9.0
2025-01-16 23:32:54.753 INFO     Replace schema references: 1.6.0.schema.json -> 1.9.0.schema.json
2025-01-16 23:32:54.753 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.18.0\n0-computer.sendme.installer.yaml
2025-01-16 23:32:54.753 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.18.0\n0-computer.sendme.locale.en-US.yaml
2025-01-16 23:32:54.768 INFO     Replace ManifestVersion: 1.6.0 -> 1.9.0
2025-01-16 23:32:54.768 INFO     Replace schema references: 1.6.0.schema.json -> 1.9.0.schema.json
2025-01-16 23:32:54.768 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.18.0\n0-computer.sendme.locale.en-US.yaml
2025-01-16 23:32:54.768 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.18.0\n0-computer.sendme.yaml
2025-01-16 23:32:54.784 INFO     Replace ManifestVersion: 1.6.0 -> 1.9.0
2025-01-16 23:32:54.800 INFO     Replace schema references: 1.6.0.schema.json -> 1.9.0.schema.json
2025-01-16 23:32:54.800 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.18.0\n0-computer.sendme.yaml
2025-01-16 23:32:54.800 INFO   Create a new locale manifest file: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.18.0\n0-computer.sendme.locale.zh-CN.yaml
2025-01-16 23:32:54.800 INFO     New locale manifest file created: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.18.0\n0-computer.sendme.locale.zh-CN.yaml
2025-01-16 23:32:54.800 INFO   Staging and Committing Changes to Git
2025-01-16 23:32:59.413 INFO     Commit message: Modify: Zype.Compass version 0.18.0 (Auto)
2025-01-16 23:32:59.413 INFO   Pushing changes to remote (origin) repository
2025-01-16 23:33:11.198 INFO     Successfully pushed to remote (origin): Modify-n0-computer.sendme-0.18.0
2025-01-16 23:33:13.496 INFO     Pull request created successfully: https://github.com/microsoft/winget-pkgs/pull/212806
2025-01-16 23:33:13.496 INFO Processing version folder: 0.19.0
2025-01-16 23:33:13.511 INFO   Create and checkout to a new branch: Modify-n0-computer.sendme-0.19.0
2025-01-16 23:33:17.591 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.19.0\n0-computer.sendme.installer.yaml
2025-01-16 23:33:17.606 INFO     Replace ManifestVersion: 1.6.0 -> 1.9.0
2025-01-16 23:33:17.606 INFO     Replace schema references: 1.6.0.schema.json -> 1.9.0.schema.json
2025-01-16 23:33:17.606 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.19.0\n0-computer.sendme.installer.yaml
2025-01-16 23:33:17.606 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.19.0\n0-computer.sendme.locale.en-US.yaml
2025-01-16 23:33:17.622 INFO     Replace ManifestVersion: 1.6.0 -> 1.9.0
2025-01-16 23:33:17.622 INFO     Replace schema references: 1.6.0.schema.json -> 1.9.0.schema.json
2025-01-16 23:33:17.638 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.19.0\n0-computer.sendme.locale.en-US.yaml
2025-01-16 23:33:17.638 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.19.0\n0-computer.sendme.yaml
2025-01-16 23:33:17.653 INFO     Replace ManifestVersion: 1.6.0 -> 1.9.0
2025-01-16 23:33:17.653 INFO     Replace schema references: 1.6.0.schema.json -> 1.9.0.schema.json
2025-01-16 23:33:17.653 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.19.0\n0-computer.sendme.yaml
2025-01-16 23:33:17.653 INFO   Create a new locale manifest file: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.19.0\n0-computer.sendme.locale.zh-CN.yaml
2025-01-16 23:33:17.653 INFO     New locale manifest file created: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.19.0\n0-computer.sendme.locale.zh-CN.yaml
2025-01-16 23:33:17.653 INFO   Staging and Committing Changes to Git
2025-01-16 23:33:22.675 INFO     Commit message: Modify: Zype.Compass version 0.19.0 (Auto)
2025-01-16 23:33:22.675 INFO   Pushing changes to remote (origin) repository
2025-01-16 23:33:33.204 INFO     Successfully pushed to remote (origin): Modify-n0-computer.sendme-0.19.0
2025-01-16 23:33:35.612 INFO     Pull request created successfully: https://github.com/microsoft/winget-pkgs/pull/212807
2025-01-16 23:33:35.612 INFO Processing version folder: 0.20.0
2025-01-16 23:33:35.612 INFO   Create and checkout to a new branch: Modify-n0-computer.sendme-0.20.0
2025-01-16 23:33:40.424 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.20.0\n0-computer.sendme.installer.yaml
